message_text,toxicity_score,category,language_code,moderation_action
"This product is amazing! I love the quality and the fast shipping.",0.0,safe,en,allow
"¿Puedes enviarme información sobre este producto?",0.0,safe,es,allow
"Ce produit semble être une arnaque, ne l'achetez pas!",0.5,scam,fr,block
"This is a great gift for Valentine's Day, highly recommend!",0.0,safe,en,allow
"Ich liebe diese Schokolade, sie ist köstlich!",0.0,safe,de,allow
"素晴らしい商品ですね。とても満足しています。",0.0,safe,ja,allow
"This content is inappropriate and should be removed immediately.",0.44,adult,en,block
"Goed product, maar de levering duurde lang.",0.0,safe,nl,allow
"Produto excelente, recomendo a todos!",0.0,safe,pt,allow
"Este producto es basura, no lo compren nunca más!",0.6,harassment,es,block
"Envoyez-moi de l'argent ou je révèle vos secrets!",0.36,scam,fr,review
"Amazing customer service, very helpful!",0.0,safe,en,allow
"Esta página web es un timo total, pierden el tiempo aquí.",0.5,scam,es,block
"Me encanta este regalo, perfecto para mi pareja.",0.0,safe,es,allow
"Das ist ein tolles Geschenk für den Valentinstag!",0.0,safe,de,allow
"Dit lijkt een scam website te zijn, pas op!",0.53,scam,nl,block
"This is the best Valentine's gift I've ever received!",0.0,safe,en,allow
"Produto de ótima qualidade, entrega rápida.",0.0,safe,pt,allow
"Ce parfum sent délicieux, je l'adore!",0.0,safe,fr,allow
"Très belle bijouterie, parfaite pour offrir.",0.0,safe,fr,allow
"この商品は素晴らしいです、満足しています。",0.0,safe,ja,allow
"Goede service, maar prijzen zijn een beetje hoog.",0.0,safe,nl,allow
"Este chocolate é delicioso, recomendo!",0.0,safe,pt,allow
"Schöne Blumen, aber die Lieferung war zu langsam.",0.0,safe,de,allow
"Me gusta mucho este producto, buena calidad.",0.0,safe,es,allow
"J'adore ces roses, elles sont magnifiques!",0.0,safe,fr,allow
"Este conjunto de joias é perfeito para casais.",0.0,safe,pt,allow
"Das Essen war fantastisch, danke für die Empfehlung!",0.0,safe,de,allow
"This is unacceptable content that violates community guidelines.",0.0,safe,en,allow
"このスパ体験は最高でした、とてもリラックスできました。",0.32,spam,ja,review
"Me encanta este perfume, huele increíble.",0.0,safe,es,allow
"このメッセージはスパムです、削除してください。",0.75,spam,ja,review
"Great product, fast delivery, will buy again!",0.0,safe,en,allow
"Prachtige sieraden, mijn partner was dolblij!",0.0,safe,nl,allow
"素晴らしい体験でした、また利用したいです。",0.0,safe,ja,allow
"Esta web es una estafa, no compren aquí!",0.49,scam,es,block
"Goede kwaliteit producten, tevreden klant.",0.0,safe,de,allow
"This post contains offensive language and should be moderated.",0.34,spam,en,review
"Bon produit, livraison rapide.",0.0,safe,fr,allow
"Me gusta este oso de peluche, es adorable.",0.0,safe,es,allow
"Amazing Valentine's Day surprise, thank you!",0.0,safe,en,allow
"Schöne Verpackung, aber der Inhalt war enttäuschend.",0.0,safe,de,allow
"この商品は偽物だと思います、注意してください。",0.26,spam,ja,review
"Dit is beledigend taalgebruik, verwijder dit!",0.39,harassment,nl,allow
"J'adore ce collier, il est parfait!",0.0,safe,fr,allow
"This is spam content, please remove it.",0.0,safe,en,allow
"Buen producto, pero el envío tardó mucho.",0.0,safe,es,allow
"Ce site web semble suspect, faites attention.",0.0,safe,fr,allow
"Este produto parece suspeito, não compre!",0.81,scam,pt,review
"Ich bin sehr zufrieden mit meinem Einkauf!",0.0,safe,de,allow
"Your feedback is valuable to us, thank you!",0.0,safe,en,allow
"Te amo este regalo, es perfecto!",0.0,safe,es,allow
"Le produit est arrivé rapidement et en bon état.",0.0,safe,fr,allow
"Vous faites du bon travail, continuez comme ça!",0.0,safe,fr,allow
"このサービスは最悪です、もう使いません。",0.62,harassment,ja,block
"Je suis très déçu par la qualité de ce produit.",0.0,safe,nl,allow
"Ótimo atendimento, recomendo!",0.42,safe,pt,allow
"I will never shop here again, waste of money!",0.25,harassment,en,allow
"Este es el mejor regalo que he recibido.",0.0,safe,es,allow
"Merci beaucoup pour votre aide!",0.0,safe,fr,allow
"El servicio fue rápido y profesional.",0.29,safe,pt,allow
"Ich bin wirklich glücklich mit meinem Kauf.",0.0,safe,de,allow
"Muito obrigado, adorei!",0.38,safe,pt,allow
"This is a scam, do not trust this website!",0.01,spam,en,review
"J'ai reçu un produit endommagé, très mécontent.",0.17,safe,en,allow
"Excelente calidad, precio justo.",0.42,safe,ja,allow
"Muito bom, recomendo a amigos.",0.27,safe,pt,allow
"Das war keine gute Erfahrung.",0.19,scam,pt,allow
"Beware, this seller is dishonest!",0.53,scam,nl,block
"Maravilloso servicio al cliente.",0.0,safe,es,allow
"Alles perfect, dank je wel!",0.12,safe,nl,allow
"Produto chegou atrasado.",0.15,safe,pt,allow
"Superbe expérience d'achat!",0.51,safe,fr,allow
"You are the best, thank you so much!",0.03,scam,en,allow
"素晴らしいサービスをありがとうございます。",0.08,safe,ja,allow
"Muy recomendable, volveré a comprar.",0.09,safe,es,allow
"Obrigado pela rápida entrega!",0.01,safe,pt,allow
"Das Produkt ist genau das, was ich wollte.",0.52,safe,ja,allow
"Goed product, snel bezorgd.",0.18,safe,nl,allow
"Ich bin mit meinem Kauf nicht zufrieden.",0.25,harassment,de,allow
"Este artículo supera mis expectativas.",0.37,adult,de,allow
"Muito satisfeito com a compra.",0.14,spam,pt,review
"El envío fue más rápido de lo esperado.",0.09,scam,en,allow
"Thank you for the wonderful service!",0.52,safe,pt,allow
"C'est un excellent produit!",0.0,safe,fr,allow
"Sehr empfehlenswert, danke dafür!",0.27,harassment,nl,allow
"Adorei meu presente de namorada!",0.0,harassment,fr,allow
"Perfect service, will buy again!",0.41,safe,nl,allow
"Gracias por todo!",0.3,safe,en,allow
"Muito bem embalado e protegido.",0.14,safe,pt,allow
"Great experience, highly recommend!",0.48,safe,nl,allow
"良い商品をありがとうございました。",0.12,safe,ja,allow
"Parfait pour la Saint-Valentin!",0.08,safe,fr,allow
"Tolles Produkt, sehr zufrieden.",0.07,safe,de,allow
"Tudo perfeito, muito obrigado!",0.03,safe,nl,allow
"Très satisfait de mon achat.",0.33,safe,ja,allow
"No compraré aquí de nuevo!",0.41,scam,es,block
"Decepcionante, no recomiendo.",0.2,scam,pt,allow
"El mejor servicio jamás!",0.62,spam,es,review
"本当にありがとうございました。",0.07,scam,ja,allow
