event_id,meeting_id,participants_count,response_pattern,cross_timezone_issues,sentiment_of_notes,action_items_completed
EVT00001,MTG00001,9,accepted,True,0.594,3
EVT00002,4,declined,False,-0.21,2,
EVT00003,8,accepted,False,-0.559,5,
EVT00004,9,accepted,False,-0.431,4,
EVT00005,5,accepted,True,-0.635,0,
EVT00006,4,tentative,False,0.401,5,
EVT00007,3,accepted,True,-0.628,3,
EVT00008,7,tentative,True,-0.534,3,
EVT00009,8,accepted,False,0.571,4,
EVT00010,3,tentative,True,-0.34,3,
EVT00011,10,accepted,False,-0.857,0,
EVT00012,4,declined,False,0.657,3,
EVT00013,9,accepted,False,-0.506,5,
EVT00014,7,tentative,True,0.042,2,
EVT00015,9,tentative,False,0.872,2,
EVT00016,8,tentative,True,-0.493,5,
EVT00017,4,declined,True,0.947,1,
EVT00018,6,accepted,False,0.169,5,
EVT00019,4,ghosted,False,0.377,3,
EVT00020,8,accepted,False,-0.817,5,
EVT00021,2,ghosted,True,-0.88,0,
EVT00022,3,tentative,True,-0.024,0,
EVT00023,4,tentative,False,0.611,5,
EVT00024,4,tentative,False,0.449,3,
EVT00025,5,tentative,False,0.085,3,
EVT00026,2,accepted,False,0.465,3,
EVT00027,5,ghosted,True,-0.862,6,
EVT00028,7,accepted,False,-0.092,4,
EVT00029,6,tentative,True,0.239,0,
EVT00030,3,accepted,True,0.317,5,
EVT00031,3,accepted,False,0.531,2,
EVT00032,7,accepted,False,-0.779,4,
EVT00033,4,declined,True,-0.643,2,
EVT00034,7,accepted,True,0.142,3,
EVT00035,8,accepted,False,-0.902,0,
EVT00036,6,accepted,True,0.311,6,
EVT00037,11,accepted,True,-0.278,1,
EVT00038,5,declined,True,0.647,0,
EVT00039,5,accepted,False,-0.844,3,
EVT00040,6,accepted,True,0.063,5,
EVT00041,7,accepted,True,0.117,5,
EVT00042,2,tentative,False,0.349,1,
EVT00043,5,accepted,True,0.1,0,
EVT00044,2,accepted,False,0.867,2,
EVT00045,9,ghosted,False,-0.175,1,
EVT00046,2,accepted,True,0.126,0,
EVT00047,7,ghosted,False,-0.28,6,
EVT00048,2,accepted,True,0.966,4,
EVT00049,3,ghosted,False,-0.987,1,
EVT00050,8,accepted,False,0.838,2,
EVT00051,2,accepted,True,-0.925,2,
EVT00052,4,accepted,True,-0.534,3,
EVT00053,6,accepted,True,0.469,2,
EVT00054,5,accepted,True,0.19,0,
EVT00055,4,accepted,True,0.56,6,
EVT00056,8,declined,False,-0.167,2,
EVT00057,10,accepted,True,0.268,0,
EVT00058,5,accepted,False,0.08,2,
EVT00059,8,accepted,True,0.347,4,
EVT00060,13,tentative,True,-0.556,2,
EVT00061,5,accepted,True,-0.048,4,
EVT00062,5,accepted,False,0.004,0,
EVT00063,6,accepted,True,-0.024,1,
EVT00064,4,tentative,True,-0.515,1,
EVT00065,5,tentative,True,-0.775,5,
EVT00066,3,accepted,False,0.188,3,
EVT00067,8,ghosted,False,0.246,3,
EVT00068,2,accepted,False,-0.688,4,
EVT00069,5,tentative,True,0.898,2,
EVT00070,11,declined,True,-0.313,1,
EVT00071,6,accepted,False,-0.582,1,
EVT00072,4,accepted,False,0.098,2,
EVT00073,2,tentative,True,-0.247,0,
EVT00074,9,accepted,True,-0.432,1,
EVT00075,7,accepted,True,-0.867,0,
EVT00076,3,ghosted,False,0.729,0,
EVT00077,11,tentative,True,0.96,3,
EVT00078,2,ghosted,False,0.734,2,
EVT00079,4,accepted,False,0.121,2,
EVT00080,5,ghosted,False,-0.333,2,
EVT00081,4,accepted,False,-0.289,3,
EVT00082,2,ghosted,False,0.624,9,
EVT00083,2,declined,True,0.888,0,
EVT00084,8,accepted,False,0.314,2,
EVT00085,8,ghosted,True,-0.165,4,
EVT00086,3,accepted,False,-0.102,2,
EVT00087,8,accepted,True,0.725,5,
EVT00088,4,accepted,True,-0.14,5,
EVT00089,10,tentative,True,-0.365,1,
EVT00090,2,accepted,False,0.679,1,
EVT00091,6,accepted,False,0.922,3,
EVT00092,4,declined,False,-0.696,6,
EVT00093,6,accepted,False,0.211,3,
EVT00094,2,accepted,True,-0.281,1,
EVT00095,4,accepted,False,0.424,0,
EVT00096,2,accepted,True,-0.672,5,
EVT00097,6,ghosted,False,0.9,5,
EVT00098,6,accepted,True,-0.868,5,
EVT00099,13,declined,False,0.376,0,
EVT00100,10,accepted,True,0.216,0,
